FIPS,MedianIncome2011,MedianIncome2012,MedianIncome2013,MedianIncome2014,MedianIncome2015,MedianIncome2016,MedianIncome2017,MedianIncome2018
5099,"31,590","32,107","33,341","30,935","35,914","37,612","46,687","37,626"
5101,"31,224","29,316","31,824","35,895","33,679","33,107","34,036","36,078"
5103,"35,095","32,749","35,006","34,971","37,987","36,016","39,576","37,624"
5105,"38,858","40,119","42,328","40,556","43,020","43,819","44,118","45,342"
5107,"26,892","26,013","25,894","28,171","28,224","29,073","27,663","29,945"
5109,"30,054","33,144","35,592","36,893","36,266","34,821","37,493","41,534"
5111,"30,761","32,248","34,113","35,851","32,756","36,125","39,778","37,370"
5113,"31,030","31,749","31,818","33,127","34,723","32,941","35,678","39,048"
5115,"38,095","40,206","39,704","39,909","41,074","42,916","45,803","45,788"
5117,"36,088","36,191","38,921","39,896","39,518","40,340","43,139","43,245"
5119,"43,898","44,819","46,526","45,698","46,473","47,966","52,361","49,957"
5121,"33,210","33,870","33,148","37,761","34,730","38,647","35,989","37,799"
5123,"28,467","32,932","29,011","30,489","31,625","39,675","31,561","33,257"
5125,"54,372","57,787","54,921","55,915","56,926","63,618","61,384","63,677"
5127,"31,163","30,630","32,404","33,202","36,028","34,245","33,354","35,826"
5129,"26,990","26,330","27,299","31,765","30,427","29,747","30,640","31,659"
5131,"38,404","38,730","41,685","39,907","41,452","42,559","44,058","46,843"
5133,"30,899","32,662","33,698","37,014","41,848","38,697","41,649","44,100"
5135,"28,760","30,076","31,224","32,101","32,095","32,379","34,266","36,032"
5137,"29,182","28,442","27,522","30,010","32,023","31,955","32,778","34,009"
5139,"37,193","40,026","38,132","40,841","42,195","41,546","43,827","45,335"
5141,"34,513","35,876","35,111","32,975","38,306","38,166","36,244","40,486"
5143,"39,230","41,856","43,302","45,589","46,418","46,367","50,400","50,893"
5145,"42,958","40,950","43,363","42,044","42,508","44,329","44,088","44,811"
5147,"27,357","29,184","29,159","29,969","31,013","30,400","32,271","34,306"
5149,"33,747","38,322","34,679","37,080","37,415","38,658","40,325","41,729"
6000,"57,275","58,322","60,185","61,927","64,483","67,715","71,785","75,250"
6001,"67,295","70,209","72,128","76,996","81,462","89,472","95,550","101,744"
6003,"46,706","46,336","49,392","53,003","50,882","57,481","55,755","55,384"
6005,"51,553","51,388","52,357","54,610","55,879","59,789","60,588","58,515"
6007,"39,208","40,748","42,395","42,302","45,369","45,097","48,634","50,945"
6009,"50,599","50,962","52,598","53,321","52,471","57,990","58,536","62,984"
6011,"47,469","49,871","48,897","48,006","51,118","54,861","53,595","57,249"
6013,"74,241","74,208","78,909","80,338","83,036","90,920","95,062","101,463"
6015,"35,598","37,305","38,663","41,419","38,963","39,458","39,996","48,518"
6017,"61,970","68,446","63,002","70,235","75,575","75,100","78,464","81,869"
6019,"42,572","41,563","43,741","43,338","46,608","48,323","51,452","52,318"
6021,"40,221","41,201","42,129","43,755","43,584","46,141","49,979","47,365"
6023,"39,526","39,837","40,882","40,581","40,739","43,164","46,123","49,471"
6025,"36,898","38,185","40,106","38,737","39,925","43,327","43,413","46,633"
6027,"44,928","45,748","45,784","49,267","51,697","53,350","53,528","53,793"
6029,"44,903","45,599","46,688","47,451","51,150","49,812","49,904","51,586"
6031,"48,319","45,464","45,794","44,490","46,440","51,320","55,076","58,255"
6033,"35,882","35,437","36,973","36,333","37,993","40,818","45,797","45,086"
6035,"47,938","47,480","50,487","49,995","54,670","49,793","58,776","57,705"
6037,"52,239","52,929","54,443","55,686","59,045","61,308","64,912","67,986"
6039,"44,795","42,054","41,223","43,171","46,593","49,467","50,783","53,632"
6041,"78,470","88,654","94,347","94,549","99,868","103,488","112,735","122,933"
6043,"42,175","43,166","45,251","47,781","44,595","51,233","52,387","51,402"
6045,"41,236","41,088","42,001","42,840","43,237","45,247","50,453","51,386"
6047,"40,016","42,552","41,003","43,818","42,879","47,442","48,036","56,169"
6049,"34,654","36,724","37,055","39,172","38,402","42,890","40,970","45,227"
6051,"48,758","53,067","55,107","59,181","53,992","56,574","60,318","66,499"
6053,"52,746","56,038","55,411","57,428","60,047","62,999","70,294","69,665"
6055,"61,179","65,698","68,619","71,063","72,683","73,112","83,881","85,624"
6057,"53,833","54,230","55,246","57,118","57,627","60,501","64,901","66,681"
6059,"72,046","71,866","73,827","76,061","78,002","81,642","86,031","89,373"
6061,"69,581","69,521","73,643","75,689","76,203","85,326","81,366","89,175"
6063,"44,923","46,450","47,645","47,964","46,813","53,646","51,756","55,079"
6065,"52,491","52,416","53,909","56,877","57,895","59,951","63,776","66,793"
6067,"52,236","52,617","52,980","55,803","58,735","59,728","62,959","69,475"
6069,"62,618","60,577","66,780","68,166","76,521","73,298","77,200","80,063"
6071,"51,017","50,603","52,112","51,951","53,526","56,194","60,270","63,310"
6073,"59,290","60,235","61,365","66,034","67,053","70,693","76,048","78,777"
6075,"69,354","72,093","76,933","83,788","90,527","101,873","109,601","110,601"
6077,"50,376","50,431","51,219","51,527","53,341","59,038","60,950","63,567"
6079,"53,877","58,427","57,743","61,775","61,761","69,517","70,634","70,626"
